Row Labels,WindowsOnly Number,WindowsOnly Percent,OtherVentilation Number,OtherVentilation Percent,TotalClassrooms (not inc DNE),Does Not Exist Number,Does Not Exist Percent,Operational Number,Operational Percent,Repair In Progress Number,Repair in Progress Percent,Does Not Exist or Repair in Progress Number,Does Not Exist or Repair in Progress Percent,Total Number Classrooms,Address,Latitude,Longitude,OpenCage Address,OpenCage Zip Code,OpeningDate,SchoolType,NTANumber,NTAName,JoinedSchoolListLocList,Census_tract,numSchools,studentEnrollment,studentCases,staffAndTeacherEnrollment,staffAndTeacherCases,totalCases,totalSchoolPop,studentsPerClassroom,staffPerClassroom,totalSchoolPopPerClassroom,casePerStudent,casesPerStaff,totalCasesPerPop,"caseRatePer10,000Student","caseRatePer10,000Staff","totalCaseRatePer10,000Pop"
M130,0,0%,46,100%,46,0,0%,46,100%,0,0%,0,0%,46,143 BAXTER STREET,40.71866,-73.998326,"143 Baxter Street, New York, NY 10013, United States of America",10013,1921,Elementary,MN24,SoHo-TriBeCa-Civic Center-Little Italy,P.S. 130 Hernando De Soto,4100,1,749,2,80,1,3,829,16.2826087,1.739130435,18.02173913,0.002670226969,0.0125,0.003618817853,26.70226969,125,36.18817853
M153,2,4%,54,96%,56,0,0%,56,100%,0,0%,0,0%,56,1750 AMSTERDAM AVENUE,40.826514,-73.947599,"Public School 153, 1750 Amsterdam Avenue, New York, NY 10031, United States of America",10031,1975,Elementary,MN04,Hamilton Heights,"P.S. 153 Adam Clayton Powell, Hamilton Heights School",23300,2,642,2,99,1,3,741,11.46428571,1.767857143,13.23214286,0.003115264798,0.0101010101,0.004048582996,31.15264798,101.010101,40.48582996
M161,0,0%,49,100%,49,0,0%,49,100%,0,0%,0,0%,49,499 WEST 133 STREET,40.817719,-73.952476,"Public School 161, 499 West 133rd Street, New York, NY 10031, United States of America",10031,1962,K-8,MN06,Manhattanville,P.S. 161 Pedro Albizu Campos,21303,1,687,2,95,0,2,782,14.02040816,1.93877551,15.95918367,0.002911208151,0,0.002557544757,29.11208151,0,25.57544757
M169,0,0%,36,100%,36,0,0%,36,100%,0,0%,0,0%,36,110 EAST  88 STREET,40.780798,-73.955594,"120 East 88th Street, New York, NY 10128, United States of America",10128,1973,K-12 all grades,MN40,Upper East Side-Carnegie Hill,P.S. M169 - Robert F. Kennedy,14802,1,356,2,199,2,4,555,9.888888889,5.527777778,15.41666667,0.005617977528,0.01005025126,0.007207207207,56.17977528,100.5025126,72.07207207
M173,5,10%,43,90%,48,0,0%,45,94%,3,6%,3,6%,48,306 FORT WASHINGTON AVENUE,40.845459,-73.939785,"Public School 173, 306 Fort Washington Avenue, New York, NY 10033, United States of America",10033,1926,Elementary,MN36,Washington Heights South,"P.S. 173, Harbor Heights",26300,2,542,2,88,0,2,630,11.29166667,1.833333333,13.125,0.0036900369,0,0.003174603175,36.900369,0,31.74603175
M176,0,0%,37,100%,37,0,0%,37,100%,0,0%,0,0%,37,4862 BROADWAY,40.8667,-73.924,"4862 Broadway, New York, NY 10034, United States of America",10034,1996,Elementary,MN01,Marble Hill-Inwood,"Muscota, Amistad Dual Language School",29100,2,700,2,101,2,4,801,18.91891892,2.72972973,21.64864865,0.002857142857,0.0198019802,0.004993757803,28.57142857,198.019802,49.93757803
M185,0,0%,31,100%,31,0,0%,31,100%,0,0%,0,0%,31,20 WEST 112 STREET,40.798461,-73.950146,"Public School 170, West 111th Street, New York, NY 10026, United States of America",10026,1968,Elementary,MN11,Central Harlem South,The Locke School of Arts and Engineering,18600,1,321,2,52,1,3,373,10.35483871,1.677419355,12.03225806,0.006230529595,0.01923076923,0.008042895442,62.30529595,192.3076923,80.42895442
M199,2,5%,38,95%,40,0,0%,40,100%,0,0%,0,0%,40,270 WEST  70 STREET,40.777603,-73.984423,"Public School M199 Jesse Isador Straus, 270 West 70th Street, New York, NY 10023, United States of America",10023,1963,Elementary,MN14,Lincoln Square,P.S. 199 Jessie Isador Straus,15500,1,621,2,80,1,3,701,15.525,2,17.525,0.003220611916,0.0125,0.004279600571,32.20611916,125,42.79600571
M263,0,0%,26,100%,26,0,0%,26,100%,0,0%,0,0%,26,202 SHERMAN AVE,40.865575,-73.921631,"202 Sherman Avenue, New York, NY 10034, United States of America",10034,2007,K-8,MN01,Marble Hill-Inwood,Washington Heights Academy,29300,1,547,2,69,0,2,616,21.03846154,2.653846154,23.69230769,0.00365630713,0,0.003246753247,36.5630713,0,32.46753247
M282,5,8%,57,92%,62,0,0%,62,100%,0,0%,0,0%,62,7 BEAVER STREET,40.705688,-74.013303,"Bowling Green, Broadway, New York, NY 10275, United States of America",10275,1996,High school,MN25,Battery Park City-Lower Manhattan,"Richard R. Green High School of Teaching, Richard R. Green High School of Teaching, Lower Manhattan Community Middle School, Lower Manhattan Community Middle School, Urban Assembly School of Business for Young Women,, Urban Assembly School of Business for Young Women,",900,3,812,2,97,0,2,909,13.09677419,1.564516129,14.66129032,0.002463054187,0,0.002200220022,24.63054187,0,22.00220022
