Row Labels,WindowsOnly Number,WindowsOnly Percent,OtherVentilation Number,OtherVentilation Percent,TotalClassrooms (not inc DNE),Does Not Exist Number,Does Not Exist Percent,Operational Number,Operational Percent,Repair In Progress Number,Repair in Progress Percent,Does Not Exist or Repair in Progress Number,Does Not Exist or Repair in Progress Percent,Total Number Classrooms,Address,Latitude,Longitude,OpenCage Address,OpenCage Zip Code,OpeningDate,SchoolType,NTANumber,NTAName,JoinedSchoolListLocList,Census_tract,numSchools,studentEnrollment,studentCases,staffAndTeacherEnrollment,staffAndTeacherCases,totalCases,totalSchoolPop,studentsPerClassroom,staffPerClassroom,totalSchoolPopPerClassroom,casePerStudent,casesPerStaff,totalCasesPerPop,"caseRatePer10,000Student","caseRatePer10,000Staff","totalCaseRatePer10,000Pop"
X156,0,0,56,1,56,0,0,56,1,0,0,0,0,56,750 CONCOURSE VILLAGE W,40.8222,-73.9204,"298 Morris Avenue, New York, NY 10455, United States of America",10455,1972,Elementary,BX14,East Concourse-Concourse Village,"Bronx Global Learning Institute for Girls Charter, Concourse Village Elementary School",6100,2,662,1,103,0,1,765,11.82142857,1.839285714,13.66071429,0.001510574,0,0.00130719,15.10574018,0,13.07189542
M025,5,0.07,63,0.93,68,0,0,68,1,0,0,0,0,68,145 STANTON STREET,40.72004,-73.986038,"Lower East Side Preparatory High School, 145 Stanton Street, New York, NY 10002, United States of America",10002,1996,High school,MN27,Chinatown,"Lower East Side Preparatory High School, Marta Valle High School, School for Global Leaders",3001,3,666,1,91,0,1,757,9.794117647,1.338235294,11.13235294,0.001501502,0,0.001321004,15.01501502,0,13.21003963
K105,3,0.05,57,0.95,60,0,0,60,1,0,0,0,0,60,1031 59 STREET,40.63332,-74.003635,"1031 59th Street, New York, NY 11219, United States of America",11219,1926,Elementary,BK88,Borough Park,P.S. 105 The Blythebourne,21400,1,1360,2,140,0,2,1500,22.66666667,2.333333333,25,0.001470588,0,0.001333333,14.70588235,0,13.33333333
K072,0,0,70,1,70,0,0,70,1,0,0,0,0,70,605 SHEPHERD AVENUE,40.669358,-73.879131,"605 Shepherd Avenue, New York, NY 11208, United States of America",11208,1975,K-8,BK82,East New York,"East New York Elementary School of Excellence, East New York Middle School of Excellence",116400,2,690,1,106,0,1,796,9.857142857,1.514285714,11.37142857,0.001449275,0,0.001256281,14.49275362,0,12.56281407
K220,2,0.04,52,0.96,54,0,0,54,1,0,0,0,0,54,4812 9TH AVENUE,40.640997,-74.00125,"Intermediate School 220, 4812 9th Avenue, New York, NY 11220, United States of America",11220,1925,Junior High-Intermediate-Middle,BK34,Sunset Park East,J.H.S. 220 John J. Pershing,10800,1,1419,2,165,1,3,1584,26.27777778,3.055555556,29.33333333,0.001409443,0.006060606,0.001893939,14.0944327,60.60606061,18.93939394
K007,0,0,51,1,51,0,0,51,1,0,0,0,0,51,858 JAMAICA AVENUE,40.689213,-73.872983,"P.S. 7, 858 Jamaica Avenue, New York, NY 11208, United States of America",11208,1999,Elementary,BK83,Cypress Hills-City Line,P.S. 007 Abraham Lincoln,118201,1,711,1,89,2,3,800,13.94117647,1.745098039,15.68627451,0.00140647,0.02247191,0.00375,14.06469761,224.7191011,37.5
K430,6,0.04,153,0.96,159,0,0,159,1,0,0,0,0,159,29 FT GREENE PLACE,40.688896,-73.976435,"Brooklyn Technical High School, 29 Fort Greene Place, New York, NY 11217, United States of America",11217,1933,High school,BK68,Fort Greene,Brooklyn Technical High School,3300,1,5921,8,364,4,12,6285,37.23899371,2.289308176,39.52830189,0.001351123,0.010989011,0.001909308,13.51123121,109.8901099,19.09307876
M868,0,0,31,1,31,0,0,31,1,0,0,0,0,31,10 East 15th Street,40.736526,-73.992727,"1 East 15th Street, New York, NY 10003, United States of America",10003,2000,Secondary School,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,The Clinton School,5200,1,791,1,80,0,1,871,25.51612903,2.580645161,28.09677419,0.001264223,0,0.001148106,12.64222503,0,11.48105626
Q152,2,0.03,58,0.97,60,0,0,60,1,0,0,0,0,60,33-52 62 STREET,40.753094,-73.900584,"Public School 152, 61st Street, New York, NY 11377, United States of America",11377,1938,Elementary,QN63,Woodside,P.S. 152 Gwendoline N. Alleyne School,29300,1,827,1,90,1,2,917,13.78333333,1.5,15.28333333,0.00120919,0.011111111,0.002181025,12.09189843,111.1111111,21.81025082
R600,2,0.04,45,0.96,47,0,0,47,1,0,0,0,0,47,290 ST MARKS PLACE,40.64282,-74.079263,"Ralph McKee High School, Belmont Place, New York, NY 10301, United States of America",10301,1935,High school,SI22,West New Brighton-New Brighton-St. George,Ralph R. McKee Career and Technical Education High,900,1,838,1,123,3,4,961,17.82978723,2.617021277,20.44680851,0.001193317,0.024390244,0.004162331,11.93317422,243.902439,41.62330905
